都道府県名,市区町村名,大字_丁目名,小字_通称名,街区符号_地番,座標系番号,Ｘ座標,Ｙ座標,緯度,経度,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
東京都,千代田区,永田町一丁目,,6,9,36252.5,7956.2,35.673.207,139.745.444,1,1,0,0
東京都,千代田区,麹町六丁目,,1,9,34981.8,9228.7,35.684.649,139.731.373,0,1,0,0
